author_name,editor_name
,Paul R. McJones
Frank Manola,
Frank Manola,
Frank Manola,
Sandra Heiler,
Frank Manola,
Frank Manola,
Mark F. Hornick,
Alejandro P. Buchmann,
Farshad Nayeri,
Benjamin Hurwitz,
Frank Manola,
Alejandro P. Buchmann,
M. Tamer zsu,
Dimitrios Georgakopoulos,
Mark F. Hornick,
Joe D. Morrison,
Farshad Nayeri,
Frank Manola,
Frank Manola,
Dines Bjrner,
E. F. Codd,
Kenneth L. Deckert,
Irving L. Traiger,
Raymond F. Boyce,
Donald D. Chamberlin,
Jim Gray,
Vera Watson,
E. F. Codd,
Robert S. Arnold,
Jean-Marc Cadiou,
Chin-Liang Chang,
Nick Roussopoulos,
H. Raymond Strong,
Irving L. Traiger,
George Markowsky,
Irving L. Traiger,
Jim Gray,
Cesare A. Galtieli,
Bruce G. Lindsay,
Raymond A. Lorie,
Bradford W. Wade,
Sai Choi Kwan,
H. Raymond Strong,
Michel E. Adiba,
Bruce G. Lindsay,
Raymond A. Lorie,
Krishna G. Kulkarni,
Jim Melton,
Jonathan Bauer,
Mike Kelley,
Jim Melton,
Jonathan Bauer,
Krishna G. Kulkarni,
Phil Shaw,
David Beech,
Cetin Ozbutun,
David Beech,
Abraham Kandel,
Mordechay Schneider,
Subrata Dasgupta,
Subrata Dasgupta,
Subrata Dasgupta,
Bruce Shriver,
Richard L. Wexelblat,
Jonathan Grudin,
Steven E. Poltrock,
Virginia Mary Lo,
Anthony Iannino,
John D. Musa,
George W. Reitwiesner,
Aviezri S. Fraenkel,
W. J. Poppelbaum,
Apostolos Dollas,
J. B. Glickman,
C. O'Toole,
Samuel D. Conte,
Hubert E. Dunsmore,
Vincent Yun Shen,
Stephen J. Andriole,
Mazin S. Yousif,
Matthew Thazhuthaveetil,
Chita R. Das,
Sandeep Gulati,
Jacob Barhen,
S. Sitharama Iyengar,
Glen Bull,
Bruce G. Buchanan,
Richard O. Duda,
Charles J. Fleckenstein,
Helen Gill,
David Hemmendinger,
Carolyn McCreary,
John D. McGregor,
Roy P. Pargas,
Arthur M. Riehl,
Virgil Wallentine,
Andries van Dam,
David E. Rice,
Mary Carol Day,
Susan J. Boyce,
E. F. Codd,
Frederick P. Brooks Jr.,
G. K. Gupta,
James Stark Draper,
Joel H. Saltz,
Gagan Agrawal,
Chialin Chang,
Raja Das,
Guy Edjlali,
Paul Havlak,
Yuan-Shin Hwang,
Bongki Moon,
Ravi Ponnusamy,
Shamik D. Sharma,
Alan Sussman,
Mustafa Uysal,
L. J. Koczela,
James H. Cross II,
Elliot J. Chikofsky,
Charles H. May Jr.,
Alan W. Biermann,
Saul I. Gass,
C. William Gear,
C. C. Gotlieb,
L. M. Spandorfer,
Saburo Muroga,
Irving John Good,
John C. Murtha,
C. V. Ramamoorthy,
Atul Prakash,
Vijay K. Garg,
Tsuneo Yamaura,
Anupam Bhide,
David R. Hill,
Andries van Dam,
Thomas E. Cheatham Jr.,
Judy A. Townly,
Adam A. Porter,
Harvey P. Siy,
Lawrence G. Votta,
Ming T. Liu,
Ming T. Liu,
Ming T. Liu,
Harry D. Huskey,
Sandra A. Mamrak,
Shari Lawrence Pfleeger,
Richard G. Hamlet,
Wing N. Toy,
William A. Curtin,
Charles DeCarlo,
Harold F. Skramstad,
B. Chandrasekaran,
Sanjay Mittal,
W. J. Poppelbaum,
W. J. Poppelbaum,
George J. Klir,
A. R. Hurson,
M. W. Bright,
Susan L. Graham,
Michael A. Harrison,
Judith M. S. Prewitt,
Ben Lee,
A. R. Hurson,
